Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-154	2020-04-01	2311	96	227	8	21	0	2	0.075					20	15	0.54
-153	2020-04-02	2633	107	322	11	24	1	3	0.103					21	18	0.58
-152	2020-04-03	3018	136	385	29	28	1	3	0.272					22	20	0.77
-151	2020-04-04	3094	144	76	8	29	1	0	0.075					23	18	0.71
-150	2020-04-05	3246	152	152	8	30	1	1	0.075					24	17	0.76
-149	2020-04-06	3660	163	414	11	34	1	3	0.103					25	19	0.8
-148	2020-04-07	3764	177	104	14	35	1	0	0.131					26	15	0.83
-147	2020-04-08	3870	182	106	5	36	1	0	0.047					27	14	0.81
-146	2020-04-09	4076	203	206	21	38	1	1	0.197					28	13	0.9
-145	2020-04-10	4195	221	119	18	39	2	1	0.169					29	11	0.8
-144	2020-04-11	4428	247	233	26	41	2	2	0.244					30	12	0.97
-143	2020-04-12	4648	297	220	50	43	2	2	0.469					31	13	1.36
-142	2020-04-13	4932	315	284	18	46	2	2	0.169					32	11	1.43
-141	2020-04-14	5223	335	291	20	48	3	2	0.188					33	13	1.48
-140	2020-04-15	5453	349	230	14	51	3	2	0.131					34	14	1.57
-139	2020-04-16	5660	362	207	13	53	3	1	0.122					35	14	1.49
-138	2020-04-17	5878	387	218	25	55	3	2	0.234					36	15	1.56
-137	2020-04-18	6087	397	209	10	57	3	1	0.094					37	15	1.41
-136	2020-04-19	6259	409	172	12	58	3	1	0.113					38	15	1.05
-135	2020-04-20	6459	428	200	19	60	4	1	0.178					39	14	1.06
-134	2020-04-21	6599	437	140	9	61	4	1	0.084					40	12	0.96
-133	2020-04-22	6710	446	111	9	62	4	1	0.084					41	11	0.91
-132	2020-04-23	6981	462	271	16	65	4	2	0.15					42	12	0.94
-131	2020-04-24	7192	477	211	15	67	4	1	0.141					43	12	0.84
-130	2020-04-25	7294	494	102	17	68	4	0	0.159					44	11	0.91
-129	2020-04-26	7579	501	285	7	71	4	2	0.066					45	12	0.86
-128	2020-04-27	7777	511	198	10	72	4	1	0.094					46	12	0.78
-127	2020-04-28	7958	530	181	19	74	4	1	0.178					47	12	0.87
-126	2020-04-29	8212	558	254	28	76	5	2	0.263					48	14	1.05
-125	2020-04-30	8488	568	276	10	79	5	2	0.094					49	14	0.99
-124	2020-05-01	8772	579	284	11	82	5	2	0.103					50	14	0.96
-123	2020-05-02	8928	603	156	24	83	5	1	0.225					51	15	1.02
-122	2020-05-03	9223	607	295	4	86	5	2	0.038					52	15	0.99
-121	2020-05-04	9485	623	262	16	88	5	2	0.15					53	16	1.05
-120	2020-05-05	9684	637	199	14	90	5	1	0.131					54	16	1.0
-119	2020-05-06	10004	658	320	21	93	6	3	0.197					55	16	0.94
-118	2020-05-07	10343	685	339	27	96	6	3	0.253					56	17	1.1
-117	2020-05-08	10463	696	120	11	98	6	1	0.103					57	15	1.1
-116	2020-05-09	10610	704	147	8	99	6	1	0.075					58	15	0.95
-115	2020-05-10	10794	719	184	15	101	6	1	0.141					59	14	1.05
-114	2020-05-11	11086	726	292	7	103	6	2	0.066					60	15	0.97
-113	2020-05-12	11350	751	264	25	106	7	2	0.234					61	15	1.07
-112	2020-05-13	11618	772	268	21	108	7	2	0.197					62	15	1.07
-111	2020-05-14	11876	790	258	18	111	7	2	0.169					63	14	0.98
-110	2020-05-15	12091	806	215	16	113	7	2	0.15					64	15	1.03
-109	2020-05-16	12305	817	214	11	115	7	2	0.103					65	15	1.06
-108	2020-05-17	12513	824	208	7	117	7	1	0.066					66	16	0.98
-107	2020-05-18	12718	831	205	7	119	7	1	0.066					67	15	0.98
-106	2020-05-19	12942	837	224	6	121	7	2	0.056					68	14	0.81
-105	2020-05-20	13221	842	279	5	123	7	2	0.047					69	15	0.66
-104	2020-05-21	13434	846	213	4	125	7	1	0.038					70	14	0.53
-103	2020-05-22	13597	857	163	11	127	8	1	0.103					71	14	0.48
-102	2020-05-23	13777	863	180	6	129	8	1	0.056					72	13	0.43
-101	2020-05-24	14035	868	258	5	131	8	2	0.047					73	14	0.41
-100	2020-05-25	14319	873	284	5	134	8	2	0.047					74	15	0.39
-99	2020-05-26	14669	886	350	13	137	8	3	0.122					75	16	0.46
-98	2020-05-27	15049	904	380	18	141	8	3	0.169					76	17	0.58
-97	2020-05-28	15588	921	539	17	146	8	5	0.159					77	20	0.7
-96	2020-05-29	16634	942	1046	21	155	8	9	0.197					78	28	0.8
-95	2020-05-30	17224	950	590	8	161	8	5	0.075					79	32	0.82
-94	2020-05-31	18086	957	862	7	169	8	8	0.066					80	37	0.83
-93	2020-06-01	18638	960	552	3	174	9	5	0.028					81	40	0.82
-92	2020-06-02	18997	966	359	6	178	9	3	0.056					82	40	0.75
-91	2020-06-03	19748	974	751	8	185	9	7	0.075					83	44	0.66
-90	2020-06-04	20382	984	634	10	191	9	5	0.094					84	44	0.59
-89	2020-06-05	20626	987	244	3	193	9	2	0.028					85	37	0.42
-88	2020-06-06	21340	994	714	7	200	9	6	0.066					86	38	0.41
-87	2020-06-07	21895	1003	555	9	205	9	5	0.084					87	35	0.43
-86	2020-06-08	22474	1011	579	8	210	9	5	0.075					88	35	0.48
-85	2020-06-09	22992	1017	518	6	215	9	4	0.056					89	37	0.48
-84	2020-06-10	23732	1027	740	10	222	9	6	0.094					90	37	0.5
-83	2020-06-11	24175	1036	443	9	226	9	4	0.084					91	35	0.49
-82	2020-06-12	24787	1052	612	16	232	9	5	0.15					92	39	0.61
-81	2020-06-13	25392	1074	605	22	238	10	5	0.206					93	37	0.75
-80	2020-06-14	25930	1088	538	14	243	10	5	0.131					94	37	0.8
-79	2020-06-15	26420	1098	490	10	247	10	4	0.094					95	36	0.82
-78	2020-06-16	26781	1103	361	5	251	10	3	0.047					96	35	0.81
-77	2020-06-17	27238	1108	457	5	255	10	4	0.047					97	32	0.76
-76	2020-06-18	27799	1116	561	8	260	10	5	0.075					98	33	0.75
-75	2020-06-19	28459	1130	660	14	266	10	6	0.131					99	34	0.73
-74	2020-06-20	29400	1150	941	20	275	10	8	0.188					100	37	0.71
-73	2020-06-21	30052	1169	652	19	281	10	6	0.178					101	38	0.76
-72	2020-06-22	30682	1177	630	8	287	11	5	0.075					102	39	0.74
-71	2020-06-23	31825	1186	1143	9	298	11	10	0.084					103	47	0.78
-70	2020-06-24	32295	1204	470	18	302	11	4	0.169					104	47	0.9
-69	2020-06-25	33069	1212	774	8	310	11	7	0.075					105	49	0.9
-68	2020-06-26	34073	1224	1004	12	319	11	9	0.113					106	52	0.88
-67	2020-06-27	34803	1236	730	12	326	11	6	0.113					107	50	0.81
-66	2020-06-28	35455	1244	652	8	332	11	6	0.075					108	50	0.7
-65	2020-06-29	36438	1255	983	11	341	11	9	0.103					109	53	0.73
-64	2020-06-30	37514	1266	1076	11	351	11	10	0.103					110	53	0.75
-63	2020-07-01	38511	1270	997	4	361	11	9	0.038					111	58	0.62
-62	2020-07-02	38805	1274	294	4	363	11	2	0.038					112	53	0.58
-61	2020-07-03	40336	1280	1531	6	378	12	14	0.056					113	58	0.53
-60	2020-07-04	41830	1290	1494	10	392	12	14	0.094					114	65	0.51
-59	2020-07-05	44254	1297	2424	7	414	12	22	0.066					115	82	0.5
-58	2020-07-06	46333	1303	2079	6	434	12	19	0.056					116	92	0.45
-57	2020-07-07	47873	1309	1540	6	448	12	14	0.056					117	97	0.4
-56	2020-07-08	50359	1314	2486	5	472	12	23	0.047					118	111	0.41
-55	2020-07-09	51754	1314	1395	0	485	12	13	0.0					119	121	0.38
-54	2020-07-10	52914	1360	1160	46	496	12	10	0.431					120	117	0.75
-53	2020-07-11	54222	1372	1308	12	508	12	12	0.113					121	116	0.77
-52	2020-07-12	56259	1534	2037	162	527	14	19	1.519					122	112	2.22
-51	2020-07-13	57006	1599	747	65	534	14	7	0.609					123	100	2.78
-50	2020-07-14	57545	1603	539	4	539	15	5	0.038					124	90	2.76
-49	2020-07-15	58850	1614	1305	11	551	15	12	0.103					125	79	2.81
-48	2020-07-16	61266	1643	2416	29	574	15	22	0.272					126	89	3.08
-47	2020-07-17	63001	1660	1735	17	590	15	16	0.159					127	94	2.81
-46	2020-07-18	65304	1773	2303	113	612	16	21	1.06					128	103	3.76
-45	2020-07-19	67456	1831	2152	58	632	17	20	0.544					129	104	2.78
-44	2020-07-20	68898	1835	1442	4	646	17	13	0.038					130	111	2.21
-43	2020-07-21	70764	1837	1866	2	663	17	17	0.019					131	123	2.19
-42	2020-07-22	72269	1843	1505	6	677	17	14	0.056					132	125	2.15
-41	2020-07-23	74390	1871	2121	28	697	17	19	0.263					133	123	2.14
-40	2020-07-24	76444	1879	2054	8	716	17	19	0.075					134	126	2.05
-39	2020-07-25	78412	1897	1968	18	735	17	18	0.169					135	122	1.16
-38	2020-07-26	80448	1932	2036	35	754	18	19	0.328					136	121	0.95
-37	2020-07-27	82040	1945	1592	13	769	18	14	0.122					137	123	1.03
-36	2020-07-28	83673	1947	1633	2	784	18	15	0.019					138	121	1.03
-35	2020-07-29	85486	1962	1813	15	801	18	16	0.141					139	123	1.12
-34	2020-07-30	89374	1983	3888	21	837	18	36	0.197					140	140	1.05
-33	2020-07-31	93354	2023	3980	40	875	18	37	0.375					141	158	1.35
-32	2020-08-01	98232	2039	4878	16	921	19	45	0.15					142	185	1.33
-31	2020-08-02	103185	2059	4953	20	967	19	46	0.188					143	213	1.19
-30	2020-08-03	106330	2104	3145	45	996	19	29	0.422					144	227	1.49
-29	2020-08-04	112593	2115	6263	11	1055	19	58	0.103					145	271	1.58
-28	2020-08-05	115980	2123	3387	8	1087	19	31	0.075					146	285	1.51
-27	2020-08-06	119460	2150	3480	27	1120	20	32	0.253					147	282	1.57
-26	2020-08-07	122754	2168	3294	18	1150	20	30	0.169					148	275	1.36
-25	2020-08-08	126885	2209	4131	41	1189	20	38	0.384					149	268	1.59
-24	2020-08-09	129913	2270	3028	61	1218	21	28	0.572					150	250	1.98
-23	2020-08-10	136638	2294	6725	24	1281	21	63	0.225					151	284	1.78
-22	2020-08-11	139538	2312	2900	18	1308	21	27	0.169					152	252	1.85
-21	2020-08-12	143749	2404	4211	92	1347	22	39	0.863					153	260	2.63
-20	2020-08-13	147526	2426	3777	22	1383	22	35	0.206					154	263	2.59
-19	2020-08-14	153660	2442	6134	16	1440	22	57	0.15					155	289	2.57
-18	2020-08-15	157918	2600	4258	158	1480	24	39	1.481					156	290	3.67
-17	2020-08-16	161253	2665	3335	65	1511	24	31	0.609					157	293	3.7
-16	2020-08-17	164474	2681	3221	16	1542	25	30	0.15					158	260	3.63
-15	2020-08-18	169213	2687	4739	6	1586	25	44	0.056					159	278	3.52
-14	2020-08-19	173774	2795	4561	108	1629	26	42	1.013					160	281	3.67
-13	2020-08-20	178022	2883	4248	88	1669	27	39	0.825					161	285	4.28
-12	2020-08-21	182365	2940	4343	57	1709	27	40	0.534					162	269	4.67
-11	2020-08-22	187249	2966	4884	26	1755	27	45	0.244					163	275	3.43
-10	2020-08-23	189601	2998	2352	32	1777	28	22	0.3					164	265	3.12
-9	2020-08-24	194252	3010	4651	12	1821	28	43	0.113					165	279	3.08
-8	2020-08-25	197164	3038	2912	28	1848	28	27	0.263					166	262	3.29
-7	2020-08-26	202361	3137	5197	99	1897	29	48	0.928					167	268	3.21
-6	2020-08-27	205581	3234	3220	97	1927	30	30	0.91					168	258	3.29
-5	2020-08-28	209544	3325	3963	91	1964	31	37	0.853					169	254	3.61
-4	2020-08-29	213131	3419	3587	94	1998	32	33	0.881					170	242	4.25
-3	2020-08-30	217396	3520	4265	101	2038	33	39	0.947					171	260	4.89
-2	2020-08-31	220819	3558	3423	38	2070	33	32	0.356					172	249	5.14
-1	2020-09-01	224264	3597	3445	39	2102	33	32	0.366					173	254	5.24
0	2020-09-02	226440	3623	2176	26	2123	33	20	0.244					174	225	4.56
